id,name,latitude,longitude,roadtype,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
96123B805439,Arna sykkel (kjørebane),60.426481,5.469724,F,0,0,0,1,0,0,1,1,1,4,5,4,3,11,11,10,7,4,4,6,8,6,0,2
71282V3228063,Goteviktunnelen,61.110609,6.602088,R,9,2,3,4,0,0,5,12,10,9,18,40,34,40,47,48,48,69,53,40,33,18,14,3
20697V805009,Nøstet - Puddefjordbroen,60.386336,5.319369,R,286,276,341,295,129,49,59,62,63,106,169,183,306,347,407,364,385,351,310,252,290,185,139,108
37884V384499,Evja,61.59907,5.048542,R,122,81,62,34,8,9,26,69,58,59,130,214,239,271,280,392,352,339,342,297,301,230,121,64
20790V1885953,Straumeveien,60.32461,5.274389,F,133,108,72,34,40,24,54,102,138,204,375,483,674,810,824,803,872,750,674,613,433,270,203,115
76940V1685349,Palmafossen nord,60.636038,6.465595,F,34,23,9,20,14,2,6,17,21,36,82,119,137,148,164,173,145,174,167,142,73,61,36,26
67055V804829,"Nygård, Danmarksplass - Nygårdstunnelen",60.38307,5.336696,E,100,63,45,38,38,31,34,73,71,138,209,212,364,431,485,472,394,391,378,382,279,222,159,58
01316V804837,Munkebotntunnelen,60.414129,5.321848,E,113,131,117,93,50,24,20,44,47,62,113,130,185,240,229,249,241,228,194,229,162,109,81,60
12252V384272,Aurdalsfjellet,60.919654,7.24839,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71387V804910,Vallaviktunnelen,60.493092,6.815907,R,9,7,2,3,5,4,7,8,19,36,56,107,187,219,269,259,219,203,155,99,67,30,25,21
35485V384501,Gaularfjellet,61.345682,6.321354,F,0,0,0,0,0,0,0,0,2,1,1,1,4,0,0,0,0,0,0,2,0,0,0,0
94767V804742,Christies gate,60.391221,5.325424,E,419,423,389,294,171,67,64,88,96,150,238,274,366,446,450,560,473,435,418,355,364,239,177,132
47932V805038,Storavatn rampe fra Godvik/Askøy,60.370581,5.214031,R,147,120,99,55,38,37,68,139,193,229,342,454,419,562,549,570,567,492,464,423,302,208,107,78
90914V1885978,Knappetunnelen Dolvik - Straume,60.3249,5.271872,F,10,12,11,5,11,8,6,11,14,18,41,33,78,86,92,98,96,82,78,71,42,31,23,16
08615V2398666,Vangstunnelen,60.637207,6.418092,E,18,18,30,13,14,9,11,29,47,110,163,309,448,497,502,512,520,428,360,298,179,48,49,21
65601V2518819,Rampe 31000 til Knappetunnelen,60.367857,5.250608,F,19,21,5,10,2,6,13,29,18,28,46,61,72,84,91,98,90,91,79,90,61,51,48,23
90722V3144541,RÅDALSKRYSSET MOT LAGUNEN,60.290401,5.325624,F,146,106,90,57,35,24,37,98,158,221,436,473,678,729,804,796,888,715,725,607,431,291,190,120
49965V384062,Storehaugtunnelen,60.998265,6.543166,R,0,0,2,1,0,0,1,8,9,11,9,10,18,20,18,19,31,25,15,11,7,4,2,1
